timestamp,node,raw_line
06:42:17.563,MASTER,--- STATISTIK ---
06:42:17.564,MASTER,S1: OK=5 | FAIL=0 | Data: 5
06:42:17.597,MASTER,S2: OK=5 | FAIL=0 | Data: 5
06:42:17.629,MASTER,Durasi siklus: 160 ms
06:42:17.662,MASTER,========================================
06:42:18.152,S2,[IGNORE] POLL:1
06:42:18.159,MASTER,========================================
06:42:18.159,MASTER,=== CYCLE 6 ===
06:42:18.169,MASTER,[TX] POLL:1
06:42:18.198,S2,[IGNORE] S1:DATA:6
06:42:18.199,S1,[RX] POLL:1 | RSSI: -36 dBm | SNR: 9.00 dB | RX#: 6
06:42:18.208,S1,[TX] S1:DATA:6
06:42:18.235,S1,[IGNORE] POLL:2
06:42:18.238,MASTER,[RX] S1:DATA:6 | RSSI: -41 dBm | SNR: 9.50 dB
06:42:18.238,MASTER,[TX] POLL:2
06:42:18.274,S1,[IGNORE] S2:DATA:6
06:42:18.275,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.25 dB | RX#: 6
06:42:18.284,S2,[TX] S2:DATA:6
06:42:18.318,MASTER,[RX] S2:DATA:6 | RSSI: -65 dBm | SNR: 9.25 dB
06:42:18.352,MASTER,--- STATISTIK ---
06:42:18.353,MASTER,S1: OK=6 | FAIL=0 | Data: 6
06:42:18.385,MASTER,S2: OK=6 | FAIL=0 | Data: 6
06:42:18.419,MASTER,Durasi siklus: 159 ms
06:42:18.450,MASTER,========================================
06:42:18.941,S2,[IGNORE] POLL:1
06:42:18.948,MASTER,========================================
06:42:18.949,MASTER,=== CYCLE 7 ===
06:42:18.958,MASTER,[TX] POLL:1
06:42:18.987,S2,[IGNORE] S1:DATA:7
06:42:18.987,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 7
06:42:18.997,S1,[TX] S1:DATA:7
06:42:19.017,S1,[IGNORE] POLL:2
06:42:19.035,MASTER,[RX] S1:DATA:7 | RSSI: -41 dBm | SNR: 9.00 dB
06:42:19.035,MASTER,[TX] POLL:2
06:42:19.062,S1,[IGNORE] S2:DATA:7
06:42:19.065,S2,[RX] POLL:2 | RSSI: -69 dBm | SNR: 9.00 dB | RX#: 7
06:42:19.073,S2,[TX] S2:DATA:7
06:42:19.107,MASTER,[RX] S2:DATA:7 | RSSI: -65 dBm | SNR: 9.00 dB
06:42:19.141,MASTER,--- STATISTIK ---
06:42:19.142,MASTER,S1: OK=7 | FAIL=0 | Data: 7
06:42:19.174,MASTER,S2: OK=7 | FAIL=0 | Data: 7
06:42:19.207,MASTER,Durasi siklus: 160 ms
06:42:19.239,MASTER,========================================
06:42:19.730,S2,[IGNORE] POLL:1
06:42:19.737,MASTER,========================================
06:42:19.737,MASTER,=== CYCLE 8 ===
06:42:19.746,MASTER,[TX] POLL:1
06:42:19.775,S2,[IGNORE] S1:DATA:8
06:42:19.778,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.50 dB | RX#: 8
06:42:19.785,S1,[TX] S1:DATA:8
06:42:19.806,S1,[IGNORE] POLL:2
06:42:19.818,MASTER,[RX] S1:DATA:8 | RSSI: -41 dBm | SNR: 9.50 dB
06:42:19.819,MASTER,[TX] POLL:2
06:42:19.852,S1,[IGNORE] S2:DATA:8
06:42:19.853,S2,[RX] POLL:2 | RSSI: -68 dBm | SNR: 9.00 dB | RX#: 8
06:42:19.862,S2,[TX] S2:DATA:8
06:42:19.896,MASTER,[RX] S2:DATA:8 | RSSI: -65 dBm | SNR: 8.75 dB
06:42:19.930,MASTER,--- STATISTIK ---
06:42:19.931,MASTER,S1: OK=8 | FAIL=0 | Data: 8
06:42:19.962,MASTER,S2: OK=8 | FAIL=0 | Data: 8
06:42:19.996,MASTER,Durasi siklus: 159 ms
06:42:20.029,MASTER,========================================
06:42:20.518,S2,[IGNORE] POLL:1
06:42:20.526,MASTER,========================================
06:42:20.526,MASTER,=== CYCLE 9 ===
06:42:20.536,MASTER,[TX] POLL:1
06:42:20.564,S2,[IGNORE] S1:DATA:9
