timestamp,node,raw_line
07:10:30.715,S1,=== LoRa SLAVE 1 ===
07:10:30.730,S1,Init LoRa ... OK
07:10:30.731,S1,Freq: 433.00 MHz
07:10:30.732,S1,Menunggu POLL:1 dari Master...
07:10:30.738,MASTER,=== LoRa MASTER-SLAVE 3 NODE ===
07:10:30.739,S2,=== LoRa SLAVE 2 ===
07:10:30.757,MASTER,Init LoRa ... OK
07:10:30.758,MASTER,Freq: 433.00 MHz
07:10:30.760,S2,Init LoRa ... OK
07:10:30.761,MASTER,SF7 | BW: 125.00 kHz
07:10:30.761,S2,Freq: 433.00 MHz
07:10:30.762,MASTER,Peran: MASTER (COM3)
07:10:30.763,MASTER,Slave: COM4 (S1) & COM5 (S2)
07:10:30.763,S2,Menunggu POLL:2 dari Master...
07:10:30.768,MASTER,========================================
07:10:30.768,MASTER,=== CYCLE 1 ===
07:10:30.770,MASTER,[TX] POLL:1
07:10:30.801,S2,[IGNORE] POLL:1
07:10:30.803,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 8.50 dB | RX#: 1
07:10:30.803,S1,[TX] S1:DATA:1
07:10:30.839,S2,[IGNORE] S1:DATA:1
07:10:30.843,MASTER,[RX] S1:DATA:1 | RSSI: -53 dBm | SNR: 9.50 dB
07:10:30.843,MASTER,[TX] POLL:2
07:10:30.873,S1,[IGNORE] POLL:2
07:10:30.876,S2,[RX] POLL:2 | RSSI: -68 dBm | SNR: 9.25 dB | RX#: 1
07:10:30.877,S2,[TX] S2:DATA:1
07:10:30.913,S1,[IGNORE] S2:DATA:1
07:10:30.915,MASTER,[RX] S2:DATA:1 | RSSI: -64 dBm | SNR: 9.50 dB
07:10:30.917,MASTER,--- STATISTIK ---
07:10:30.918,MASTER,S1: OK=1 | FAIL=0 | Data: 1
07:10:30.921,MASTER,S2: OK=1 | FAIL=0 | Data: 1
07:10:30.923,MASTER,Durasi siklus: 153 ms
07:10:30.927,MASTER,========================================
07:10:31.425,MASTER,========================================
07:10:31.426,MASTER,=== CYCLE 2 ===
07:10:31.427,MASTER,[TX] POLL:1
07:10:31.457,S2,[IGNORE] POLL:1
07:10:31.459,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 11.50 dB | RX#: 2
07:10:31.460,S1,[TX] S1:DATA:2
07:10:31.497,S2,[IGNORE] S1:DATA:2
07:10:31.500,MASTER,[RX] S1:DATA:2 | RSSI: -53 dBm | SNR: 9.50 dB
07:10:31.500,MASTER,[TX] POLL:2
07:10:31.531,S1,[IGNORE] POLL:2
07:10:31.533,S2,[RX] POLL:2 | RSSI: -68 dBm | SNR: 9.25 dB | RX#: 2
07:10:31.534,S2,[TX] S2:DATA:2
07:10:31.570,S1,[IGNORE] S2:DATA:2
07:10:31.572,MASTER,[RX] S2:DATA:2 | RSSI: -64 dBm | SNR: 9.75 dB
07:10:31.575,MASTER,--- STATISTIK ---
07:10:31.575,MASTER,S1: OK=2 | FAIL=0 | Data: 2
07:10:31.578,MASTER,S2: OK=2 | FAIL=0 | Data: 2
07:10:31.580,MASTER,Durasi siklus: 147 ms
07:10:31.584,MASTER,========================================
07:10:32.083,MASTER,========================================
07:10:32.083,MASTER,=== CYCLE 3 ===
07:10:32.085,MASTER,[TX] POLL:1
07:10:32.114,S2,[IGNORE] POLL:1
07:10:32.117,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.25 dB | RX#: 3
07:10:32.118,S1,[TX] S1:DATA:3
07:10:32.154,S2,[IGNORE] S1:DATA:3
07:10:32.158,MASTER,[RX] S1:DATA:3 | RSSI: -41 dBm | SNR: 9.75 dB
07:10:32.158,MASTER,[TX] POLL:2
07:10:32.188,S1,[IGNORE] POLL:2
07:10:32.190,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 3
07:10:32.191,S2,[TX] S2:DATA:3
07:10:32.227,S1,[IGNORE] S2:DATA:3
07:10:32.230,MASTER,[RX] S2:DATA:3 | RSSI: -64 dBm | SNR: 9.50 dB
07:10:32.232,MASTER,--- STATISTIK ---
07:10:32.233,MASTER,S1: OK=3 | FAIL=0 | Data: 3
07:10:32.236,MASTER,S2: OK=3 | FAIL=0 | Data: 3
07:10:32.238,MASTER,Durasi siklus: 147 ms
07:10:32.242,MASTER,========================================
07:10:32.741,MASTER,========================================
07:10:32.742,MASTER,=== CYCLE 4 ===
07:10:32.742,MASTER,[TX] POLL:1
07:10:32.771,S2,[IGNORE] POLL:1
07:10:32.774,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.50 dB | RX#: 4
07:10:32.775,S1,[TX] S1:DATA:4
07:10:32.813,S2,[IGNORE] S1:DATA:4
07:10:32.815,MASTER,[RX] S1:DATA:4 | RSSI: -53 dBm | SNR: 9.50 dB
07:10:32.816,MASTER,[TX] POLL:2
07:10:32.845,S1,[IGNORE] POLL:2
07:10:32.847,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 4
07:10:32.849,S2,[TX] S2:DATA:4
07:10:32.885,S1,[IGNORE] S2:DATA:4
07:10:32.888,MASTER,[RX] S2:DATA:4 | RSSI: -64 dBm | SNR: 9.50 dB
07:10:32.890,MASTER,--- STATISTIK ---
07:10:32.890,MASTER,S1: OK=4 | FAIL=0 | Data: 4
07:10:32.892,MASTER,S2: OK=4 | FAIL=0 | Data: 4
07:10:32.895,MASTER,Durasi siklus: 148 ms
07:10:32.899,MASTER,========================================
07:10:33.398,MASTER,========================================
07:10:33.398,MASTER,=== CYCLE 5 ===
07:10:33.399,MASTER,[TX] POLL:1
07:10:33.430,S2,[IGNORE] POLL:1
07:10:33.431,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.25 dB | RX#: 5
07:10:33.433,S1,[TX] S1:DATA:5
07:10:33.470,S2,[IGNORE] S1:DATA:5
07:10:33.472,MASTER,[RX] S1:DATA:5 | RSSI: -53 dBm | SNR: 9.50 dB
07:10:33.472,MASTER,[TX] POLL:2
07:10:33.502,S1,[IGNORE] POLL:2
07:10:33.505,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 5
07:10:33.506,S2,[TX] S2:DATA:5
07:10:33.542,S1,[IGNORE] S2:DATA:5
07:10:33.544,MASTER,[RX] S2:DATA:5 | RSSI: -64 dBm | SNR: 9.50 dB
07:10:33.547,MASTER,--- STATISTIK ---
07:10:33.547,MASTER,S1: OK=5 | FAIL=0 | Data: 5
07:10:33.550,MASTER,S2: OK=5 | FAIL=0 | Data: 5
07:10:33.553,MASTER,Durasi siklus: 147 ms
07:10:33.557,MASTER,========================================
07:10:34.056,MASTER,========================================
07:10:34.057,MASTER,=== CYCLE 6 ===
07:10:34.058,MASTER,[TX] POLL:1
07:10:34.087,S2,[IGNORE] POLL:1
07:10:34.089,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.25 dB | RX#: 6
07:10:34.090,S1,[TX] S1:DATA:6
07:10:34.126,S2,[IGNORE] S1:DATA:6
07:10:34.130,MASTER,[RX] S1:DATA:6 | RSSI: -41 dBm | SNR: 9.75 dB
07:10:34.130,MASTER,[TX] POLL:2
07:10:34.164,S1,[IGNORE] POLL:2
07:10:34.165,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 8.75 dB | RX#: 6
07:10:34.166,S2,[TX] S2:DATA:6
07:10:34.200,S1,[IGNORE] S2:DATA:6
07:10:34.202,MASTER,[RX] S2:DATA:6 | RSSI: -64 dBm | SNR: 9.25 dB
07:10:34.204,MASTER,--- STATISTIK ---
07:10:34.205,MASTER,S1: OK=6 | FAIL=0 | Data: 6
07:10:34.207,MASTER,S2: OK=6 | FAIL=0 | Data: 6
07:10:34.210,MASTER,Durasi siklus: 148 ms
07:10:34.214,MASTER,========================================
07:10:34.712,MASTER,========================================
07:10:34.713,MASTER,=== CYCLE 7 ===
07:10:34.714,MASTER,[TX] POLL:1
07:10:34.744,S2,[IGNORE] POLL:1
07:10:34.746,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 7
07:10:34.747,S1,[TX] S1:DATA:7
07:10:34.783,S2,[IGNORE] S1:DATA:7
07:10:34.786,MASTER,[RX] S1:DATA:7 | RSSI: -53 dBm | SNR: 9.75 dB
07:10:34.787,MASTER,[TX] POLL:2
07:10:34.817,S1,[IGNORE] POLL:2
07:10:34.819,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 7
07:10:34.821,S2,[TX] S2:DATA:7
07:10:34.858,S1,[IGNORE] S2:DATA:7
07:10:34.860,MASTER,[RX] S2:DATA:7 | RSSI: -63 dBm | SNR: 9.50 dB
07:10:34.862,MASTER,--- STATISTIK ---
07:10:34.862,MASTER,S1: OK=7 | FAIL=0 | Data: 7
07:10:34.865,MASTER,S2: OK=7 | FAIL=0 | Data: 7
07:10:34.867,MASTER,Durasi siklus: 147 ms
07:10:34.871,MASTER,========================================
07:10:35.371,MASTER,========================================
07:10:35.371,MASTER,=== CYCLE 8 ===
07:10:35.372,MASTER,[TX] POLL:1
07:10:35.401,S2,[IGNORE] POLL:1
07:10:35.404,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.50 dB | RX#: 8
07:10:35.405,S1,[TX] S1:DATA:8
07:10:35.442,S2,[IGNORE] S1:DATA:8
07:10:35.444,MASTER,[RX] S1:DATA:8 | RSSI: -53 dBm | SNR: 10.00 dB
07:10:35.444,MASTER,[TX] POLL:2
07:10:35.475,S1,[IGNORE] POLL:2
07:10:35.477,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 8
07:10:35.478,S2,[TX] S2:DATA:8
07:10:35.514,S1,[IGNORE] S2:DATA:8
07:10:35.517,MASTER,[RX] S2:DATA:8 | RSSI: -63 dBm | SNR: 9.75 dB
07:10:35.519,MASTER,--- STATISTIK ---
07:10:35.519,MASTER,S1: OK=8 | FAIL=0 | Data: 8
07:10:35.522,MASTER,S2: OK=8 | FAIL=0 | Data: 8
07:10:35.525,MASTER,Durasi siklus: 147 ms
07:10:35.528,MASTER,========================================
07:10:36.030,MASTER,========================================
07:10:36.031,MASTER,=== CYCLE 9 ===
07:10:36.031,MASTER,[TX] POLL:1
07:10:36.058,S2,[IGNORE] POLL:1
07:10:36.061,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.50 dB | RX#: 9
07:10:36.062,S1,[TX] S1:DATA:9
07:10:36.099,S2,[IGNORE] S1:DATA:9
07:10:36.101,MASTER,[RX] S1:DATA:9 | RSSI: -41 dBm | SNR: 9.50 dB
07:10:36.101,MASTER,[TX] POLL:2
07:10:36.132,S1,[IGNORE] POLL:2
07:10:36.134,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 8.50 dB | RX#: 9
07:10:36.136,S2,[TX] S2:DATA:9
07:10:36.172,S1,[IGNORE] S2:DATA:9
07:10:36.174,MASTER,[RX] S2:DATA:9 | RSSI: -63 dBm | SNR: 9.75 dB
07:10:36.176,MASTER,--- STATISTIK ---
07:10:36.177,MASTER,S1: OK=9 | FAIL=0 | Data: 9
07:10:36.179,MASTER,S2: OK=9 | FAIL=0 | Data: 9
07:10:36.182,MASTER,Durasi siklus: 148 ms
07:10:36.186,MASTER,========================================
07:10:36.685,MASTER,========================================
07:10:36.685,MASTER,=== CYCLE 10 ===
07:10:36.686,MASTER,[TX] POLL:1
07:10:36.716,S2,[IGNORE] POLL:1
07:10:36.718,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.00 dB | RX#: 10
07:10:36.720,S1,[TX] S1:DATA:10
07:10:36.756,S2,[IGNORE] S1:DATA:10
07:10:36.759,MASTER,[RX] S1:DATA:10 | RSSI: -52 dBm | SNR: 9.00 dB
07:10:36.760,MASTER,[TX] POLL:2
07:10:36.792,S1,[IGNORE] POLL:2
07:10:36.792,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 10
07:10:36.794,S2,[TX] S2:DATA:10
07:10:36.829,S1,[IGNORE] S2:DATA:10
07:10:36.832,MASTER,[RX] S2:DATA:10 | RSSI: -63 dBm | SNR: 9.50 dB
07:10:36.834,MASTER,--- STATISTIK ---
07:10:36.838,MASTER,S1: OK=10 | FAIL=0 | Data: 10
07:10:36.840,MASTER,S2: OK=10 | FAIL=0 | Data: 10
07:10:36.840,MASTER,Durasi siklus: 147 ms
07:10:36.844,MASTER,========================================
07:10:37.343,MASTER,========================================
07:10:37.344,MASTER,=== CYCLE 11 ===
07:10:37.346,MASTER,[TX] POLL:1
07:10:37.375,S2,[IGNORE] POLL:1
07:10:37.376,S1,[RX] POLL:1 | RSSI: -58 dBm | SNR: 9.25 dB | RX#: 11
07:10:37.378,S1,[TX] S1:DATA:11
07:10:37.414,S2,[IGNORE] S1:DATA:11
07:10:37.417,MASTER,[RX] S1:DATA:11 | RSSI: -53 dBm | SNR: 9.25 dB
07:10:37.418,MASTER,[TX] POLL:2
07:10:37.450,S1,[IGNORE] POLL:2
07:10:37.450,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 9.00 dB | RX#: 11
07:10:37.453,S2,[TX] S2:DATA:11
07:10:37.488,S1,[IGNORE] S2:DATA:11
07:10:37.490,MASTER,[RX] S2:DATA:11 | RSSI: -63 dBm | SNR: 9.25 dB
07:10:37.493,MASTER,--- STATISTIK ---
07:10:37.495,MASTER,S1: OK=11 | FAIL=0 | Data: 11
07:10:37.498,MASTER,S2: OK=11 | FAIL=0 | Data: 11
07:10:37.498,MASTER,Durasi siklus: 148 ms
07:10:37.502,MASTER,========================================
07:10:38.001,MASTER,========================================
07:10:38.002,MASTER,=== CYCLE 12 ===
07:10:38.004,MASTER,[TX] POLL:1
07:10:38.033,S2,[IGNORE] POLL:1
07:10:38.035,S1,[RX] POLL:1 | RSSI: -59 dBm | SNR: 9.00 dB | RX#: 12
07:10:38.036,S1,[TX] S1:DATA:12
07:10:38.072,S2,[IGNORE] S1:DATA:12
07:10:38.076,MASTER,[RX] S1:DATA:12 | RSSI: -53 dBm | SNR: 9.50 dB
07:10:38.076,MASTER,[TX] POLL:2
07:10:38.107,S1,[IGNORE] POLL:2
07:10:38.110,S2,[RX] POLL:2 | RSSI: -67 dBm | SNR: 8.75 dB | RX#: 12
07:10:38.110,S2,[TX] S2:DATA:12
07:10:38.154,S1,[IGNORE] S2:DATA:12
